"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type"
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false",,"Segment"
"WEEK","毎週","Week","week","STRING","false",,"Segment"
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM","false","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV_RATE, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPS, QUALITY_LOST_IMPRESSION_SHARE, SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_TOP_IMPRESSION_SHARE, SEARCH_TOP_IMPRESSION_SHARE, TOP_IMPRESSION_PERCENTAGE]","Segment"
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","false","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV_RATE, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPS, QUALITY_LOST_IMPRESSION_SHARE, SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_TOP_IMPRESSION_SHARE, SEARCH_TOP_IMPRESSION_SHARE, TOP_IMPRESSION_PERCENTAGE]","Segment"
"LABELS","ラベル","Labels","Labels","STRING","true",,"Attribute"
"LABELS_JSON","ラベル(JSON)","Labels(JSON)","LabelsJson","STRING","true",,"Attribute"
"ABSOLUTE_TOP_IMPRESSION_PERCENTAGE","インプレッションにおけるページ最上部の割合","Search absolute top impression rate","absoluteTopImpressionPercentage","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"TOP_IMPRESSION_PERCENTAGE","インプレッションにおけるページ上部の割合","Search top impression rate","topImpressionPercentage","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE","ページ最上部のインプレッションシェア","Search absolute top impression share","searchAbsoluteTopImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"SEARCH_TOP_IMPRESSION_SHARE","ページ上部のインプレッションシェア","Search top impression share","searchTopImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"SEARCH_BUDGET_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE","ページ最上部のインプレッション損失率（予算）","Search lost absolute top impression share (budget)","searchBudgetLostAbsoluteTopImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"SEARCH_RANK_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE","ページ最上部のインプレッション損失率（掲載順位）","Search lost absolute top impression share (rank)","searchRankLostAbsoluteTopImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"SEARCH_BUDGET_LOST_TOP_IMPRESSION_SHARE","ページ上部のインプレッション損失率（予算）","Search lost top impression share (budget)","searchBudgetLostTopImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
"SEARCH_RANK_LOST_TOP_IMPRESSION_SHARE","ページ上部のインプレッション損失率（掲載順位）","Search lost top impression share (rank)","searchRankLostTopImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric"
